policy,n_pickers,speed_m_per_min,congestion,batch_size,time_threshold_min,sku_popularity,seed,orders_total,makespan_min,throughput_per_hour,avg_wait_min,util_avg,util_max
Secuencial_FCFS,1,60.0,off,0,0.0,uniforme,7,148,179.65671768485734,49.427597890198264,0.2585884538441425,0.4226579128899088,0.4226579128899088
Secuencial_FCFS,1,60.0,light,0,0.0,uniforme,7,148,179.65671768485734,49.427597890198264,0.2585884538441425,0.4226579128899088,0.4226579128899088
Secuencial_FCFS,2,60.0,off,0,0.0,uniforme,7,148,179.65671768485734,49.427597890198264,0.02519014974617939,0.2113289564449543,0.3126332674361265
Secuencial_FCFS,2,60.0,light,0,0.0,uniforme,7,148,179.65671768485734,49.427597890198264,0.035373237109191435,0.2230179154054742,0.3214278175111843
Secuencial_FCFS,3,60.0,off,0,0.0,uniforme,7,148,179.65671768485734,49.427597890198264,0.0019400060811472723,0.1408859709633029,0.30576832328471015
Secuencial_FCFS,3,60.0,light,0,0.0,uniforme,7,148,179.65671768485734,49.427597890198264,0.00395393685215566,0.15068243180640523,0.31102835481694396
Batching_Size,1,60.0,off,5,0.0,uniforme,7,148,177.10438849183944,50.13992073047456,0.0,0.1690151982581312,0.1690151982581312
Batching_Size,1,60.0,off,10,0.0,uniforme,7,148,172.46887520473297,51.48755095352017,0.0,0.11615622418568178,0.11615622418568178
Batching_Size,1,60.0,light,5,0.0,uniforme,7,148,177.10438849183944,50.13992073047456,0.0,0.1690151982581312,0.1690151982581312
Batching_Size,1,60.0,light,10,0.0,uniforme,7,148,172.46887520473297,51.48755095352017,0.0,0.11615622418568178,0.11615622418568178
Batching_Size,2,60.0,off,5,0.0,uniforme,7,148,177.10438849183944,50.13992073047456,0.0,0.0845075991290656,0.1690151982581312
Batching_Size,2,60.0,off,10,0.0,uniforme,7,148,172.46887520473297,51.48755095352017,0.0,0.05807811209284089,0.11615622418568178
Batching_Size,2,60.0,light,5,0.0,uniforme,7,148,177.10438849183944,50.13992073047456,0.0,0.0845075991290656,0.1690151982581312
Batching_Size,2,60.0,light,10,0.0,uniforme,7,148,172.46887520473297,51.48755095352017,0.0,0.05807811209284089,0.11615622418568178
Batching_Size,3,60.0,off,5,0.0,uniforme,7,148,177.10438849183944,50.13992073047456,0.0,0.056338399419377065,0.1690151982581312
Batching_Size,3,60.0,off,10,0.0,uniforme,7,148,172.46887520473297,51.48755095352017,0.0,0.03871874139522726,0.11615622418568178
Batching_Size,3,60.0,light,5,0.0,uniforme,7,148,177.10438849183944,50.13992073047456,0.0,0.056338399419377065,0.1690151982581312
Batching_Size,3,60.0,light,10,0.0,uniforme,7,148,172.46887520473297,51.48755095352017,0.0,0.03871874139522726,0.11615622418568178
Batching_Time,1,60.0,off,0,1.0,uniforme,7,148,179.65671768485734,49.427597890198264,0.003997954819423035,0.29036858370180285,0.29036858370180285
Batching_Time,1,60.0,off,0,2.0,uniforme,7,148,179.65671768485734,49.427597890198264,0.0,0.22561546184114525,0.22561546184114525
Batching_Time,1,60.0,light,0,1.0,uniforme,7,148,179.65671768485734,49.427597890198264,0.003997954819423035,0.29036858370180285,0.29036858370180285
Batching_Time,1,60.0,light,0,2.0,uniforme,7,148,179.65671768485734,49.427597890198264,0.0,0.22561546184114525,0.22561546184114525
Batching_Time,2,60.0,off,0,1.0,uniforme,7,148,179.65671768485734,49.427597890198264,0.0,0.14518429185090143,0.27979285892799916
Batching_Time,2,60.0,off,0,2.0,uniforme,7,148,179.65671768485734,49.427597890198264,0.0,0.11280773092057263,0.22561546184114525
Batching_Time,2,60.0,light,0,1.0,uniforme,7,148,179.65671768485734,49.427597890198264,0.0,0.1459774712089367,0.27979285892799916
Batching_Time,2,60.0,light,0,2.0,uniforme,7,148,179.65671768485734,49.427597890198264,0.0,0.11280773092057263,0.22561546184114525
Batching_Time,3,60.0,off,0,1.0,uniforme,7,148,179.65671768485734,49.427597890198264,0.0,0.09678952790060094,0.27979285892799916
Batching_Time,3,60.0,off,0,2.0,uniforme,7,148,179.65671768485734,49.427597890198264,0.0,0.07520515394704842,0.22561546184114525
Batching_Time,3,60.0,light,0,1.0,uniforme,7,148,179.65671768485734,49.427597890198264,0.0,0.09731831413929112,0.27979285892799916
Batching_Time,3,60.0,light,0,2.0,uniforme,7,148,179.65671768485734,49.427597890198264,0.0,0.07520515394704842,0.22561546184114525
Secuencial_FCFS,1,60.0,off,0,0.0,concentrada,7,148,179.39005101819066,49.50107293909819,0.03079464010911965,0.18432831965309843,0.18432831965309843
Secuencial_FCFS,1,60.0,light,0,0.0,concentrada,7,148,179.39005101819066,49.50107293909819,0.03079464010911965,0.18432831965309843,0.18432831965309843
Secuencial_FCFS,2,60.0,off,0,0.0,concentrada,7,148,179.39005101819066,49.50107293909819,0.0007645929582122296,0.09216415982654923,0.15812842744434152
Secuencial_FCFS,2,60.0,light,0,0.0,concentrada,7,148,179.39005101819066,49.50107293909819,0.000933511877131091,0.09449149067700795,0.15863941824983147
Secuencial_FCFS,3,60.0,off,0,0.0,concentrada,7,148,179.39005101819066,49.50107293909819,0.0,0.06144277321769949,0.15552701970730184
Secuencial_FCFS,3,60.0,light,0,0.0,concentrada,7,148,179.39005101819066,49.50107293909819,0.0,0.06323588640787327,0.15586148641634978
Batching_Size,1,60.0,off,5,0.0,concentrada,7,148,176.87105515850612,50.20606674190998,0.0,0.09837675239968846,0.09837675239968846
Batching_Size,1,60.0,off,10,0.0,concentrada,7,148,171.80220853806628,51.68734485757472,0.0,0.07042982801538897,0.07042982801538897
