policy,1,2,3
Batching_Size,47.68839502479249,47.68839502479249,47.68839502479249
Batching_Time,46.08626555272188,46.08626555272188,46.08626555272188
Secuencial_FCFS,45.89883437399078,45.89883437399078,45.89883437399078
